candidatePartyCode;firstName;isIncumbent;lastName;majorParty;voteNum;VotePercentNum;countyFipsCode;countyName;percentReporting;stateAbbreviation;stateId;stateName;editorialStatus;voteTimestamp
R;Donald;True;Trump;REP;19838;71.4;01001;Autauga;100;AL;1;Alabama;called;2020-11-24T13:21:46.000Z
D;Joe;False;Biden;DEM;7503;27.0;01001;Autauga;100;AL;1;Alabama;called;2020-11-24T13:21:46.000Z
R;Donald;True;Trump;REP;83544;76.2;01003;Baldwin;100;AL;1;Alabama;called;2020-11-24T13:21:46.000Z
D;Joe;False;Biden;DEM;24578;22.4;01003;Baldwin;100;AL;1;Alabama;called;2020-11-24T13:21:46.000Z
R;Donald;True;Trump;REP;5622;53.5;01005;Barbour;100;AL;1;Alabama;called;2020-11-24T13:21:47.000Z
D;Joe;False;Biden;DEM;4816;45.8;01005;Barbour;100;AL;1;Alabama;called;2020-11-24T13:21:47.000Z
R;Donald;True;Trump;REP;7525;78.4;01007;Bibb;100;AL;1;Alabama;called;2020-11-24T13:21:49.000Z
D;Joe;False;Biden;DEM;1986;20.7;01007;Bibb;100;AL;1;Alabama;called;2020-11-24T13:21:49.000Z
R;Donald;True;Trump;REP;24711;89.6;01009;Blount;100;AL;1;Alabama;called;2020-11-24T13:21:52.000Z
D;Joe;False;Biden;DEM;2640;9.6;01009;Blount;100;AL;1;Alabama;called;2020-11-24T13:21:52.000Z
D;Joe;False;Biden;DEM;3446;74.7;01011;Bullock;100;AL;1;Alabama;called;2020-11-24T13:21:53.000Z
R;Donald;True;Trump;REP;1146;24.8;01011;Bullock;100;AL;1;Alabama;called;2020-11-24T13:21:53.000Z
R;Donald;True;Trump;REP;5458;57.5;01013;Butler;100;AL;1;Alabama;called;2020-11-24T13:21:54.000Z
D;Joe;False;Biden;DEM;3965;41.8;01013;Butler;100;AL;1;Alabama;called;2020-11-24T13:21:54.000Z
R;Donald;True;Trump;REP;35101;68.8;01015;Calhoun;100;AL;1;Alabama;called;2020-11-24T13:21:55.000Z
D;Joe;False;Biden;DEM;15216;29.8;01015;Calhoun;100;AL;1;Alabama;called;2020-11-24T13:21:55.000Z
R;Donald;True;Trump;REP;8753;57.3;01017;Chambers;100;AL;1;Alabama;called;2020-11-24T13:21:56.000Z
D;Joe;False;Biden;DEM;6365;41.6;01017;Chambers;100;AL;1;Alabama;called;2020-11-24T13:21:56.000Z
R;Donald;True;Trump;REP;10583;86.0;01019;Cherokee;100;AL;1;Alabama;called;2020-11-24T13:21:58.000Z
D;Joe;False;Biden;DEM;1624;13.2;01019;Cherokee;100;AL;1;Alabama;called;2020-11-24T13:21:58.000Z
R;Donald;True;Trump;REP;16085;83.3;01021;Chilton;100;AL;1;Alabama;called;2020-11-24T13:21:59.000Z
D;Joe;False;Biden;DEM;3073;15.9;01021;Chilton;100;AL;1;Alabama;called;2020-11-24T13:21:59.000Z
R;Donald;True;Trump;REP;4296;57.6;01023;Choctaw;100;AL;1;Alabama;called;2020-11-24T13:22:01.000Z
D;Joe;False;Biden;DEM;3127;41.9;01023;Choctaw;100;AL;1;Alabama;called;2020-11-24T13:22:01.000Z
R;Donald;True;Trump;REP;7324;55.8;01025;Clarke;100;AL;1;Alabama;called;2020-11-24T13:22:01.000Z
D;Joe;False;Biden;DEM;5755;43.8;01025;Clarke;100;AL;1;Alabama;called;2020-11-24T13:22:01.000Z
R;Donald;True;Trump;REP;5601;80.8;01027;Clay;100;AL;1;Alabama;called;2020-11-24T13:22:03.000Z
D;Joe;False;Biden;DEM;1267;18.3;01027;Clay;100;AL;1;Alabama;called;2020-11-24T13:22:03.000Z
R;Donald;True;Trump;REP;6484;89.7;01029;Cleburne;100;AL;1;Alabama;called;2020-11-24T13:22:03.000Z
D;Joe;False;Biden;DEM;675;9.3;01029;Cleburne;100;AL;1;Alabama;called;2020-11-24T13:22:03.000Z
R;Donald;True;Trump;REP;16899;75.9;01031;Coffee;100;AL;1;Alabama;called;2020-11-24T13:22:04.000Z
D;Joe;False;Biden;DEM;5076;22.8;01031;Coffee;100;AL;1;Alabama;called;2020-11-24T13:22:04.000Z
