candidateID;vote;stateFips;countyFips;progressReporting;progressTotal;electors;holdingParty;party;ballotOrder;fullName;incumbent;aggregable;tot_county_votes;votePct
5063;19838;01;01001;18;18;9.0;gop;gop;2.0;Donald Trump;True;False;27691;71.64
5755;7503;01;01001;18;18;9.0;gop;dem;1.0;Joe Biden;False;False;27691;27.1
5849;350;01;01001;18;18;9.0;gop;lib;3.0;Jo Jorgensen;False;True;27691;1.26
5063;83544;01;01003;50;50;9.0;gop;gop;2.0;Donald Trump;True;False;109351;76.4
5755;24578;01;01003;50;50;9.0;gop;dem;1.0;Joe Biden;False;False;109351;22.48
5849;1229;01;01003;50;50;9.0;gop;lib;3.0;Jo Jorgensen;False;True;109351;1.12
5063;5622;01;01005;21;21;9.0;gop;gop;2.0;Donald Trump;True;False;10506;53.51
5755;4816;01;01005;21;21;9.0;gop;dem;1.0;Joe Biden;False;False;10506;45.84
5849;68;01;01005;21;21;9.0;gop;lib;3.0;Jo Jorgensen;False;True;10506;0.65
5063;7525;01;01007;16;16;9.0;gop;gop;2.0;Donald Trump;True;False;9585;78.51
5755;1986;01;01007;16;16;9.0;gop;dem;1.0;Joe Biden;False;False;9585;20.72
5849;74;01;01007;16;16;9.0;gop;lib;3.0;Jo Jorgensen;False;True;9585;0.77
5063;24711;01;01009;25;25;9.0;gop;gop;2.0;Donald Trump;True;False;27560;89.66
5755;2640;01;01009;25;25;9.0;gop;dem;1.0;Joe Biden;False;False;27560;9.58
5849;209;01;01009;25;25;9.0;gop;lib;3.0;Jo Jorgensen;False;True;27560;0.76
5063;1146;01;01011;17;17;9.0;gop;gop;2.0;Donald Trump;True;False;4611;24.85
5755;3446;01;01011;17;17;9.0;gop;dem;1.0;Joe Biden;False;False;4611;74.73
5849;19;01;01011;17;17;9.0;gop;lib;3.0;Jo Jorgensen;False;True;4611;0.41
5063;5458;01;01013;22;22;9.0;gop;gop;2.0;Donald Trump;True;False;9482;57.56
5755;3965;01;01013;22;22;9.0;gop;dem;1.0;Joe Biden;False;False;9482;41.82
5849;59;01;01013;22;22;9.0;gop;lib;3.0;Jo Jorgensen;False;True;9482;0.62
5063;35101;01;01015;44;44;9.0;gop;gop;2.0;Donald Trump;True;False;50870;69.0
5755;15216;01;01015;44;44;9.0;gop;dem;1.0;Joe Biden;False;False;50870;29.91
5849;553;01;01015;44;44;9.0;gop;lib;3.0;Jo Jorgensen;False;True;50870;1.09
5063;8753;01;01017;29;29;9.0;gop;gop;2.0;Donald Trump;True;False;15259;57.36
5755;6365;01;01017;29;29;9.0;gop;dem;1.0;Joe Biden;False;False;15259;41.71
5849;141;01;01017;29;29;9.0;gop;lib;3.0;Jo Jorgensen;False;True;15259;0.92
5063;10583;01;01019;23;23;9.0;gop;gop;2.0;Donald Trump;True;False;12289;86.12
5755;1624;01;01019;23;23;9.0;gop;dem;1.0;Joe Biden;False;False;12289;13.22
5849;82;01;01019;23;23;9.0;gop;lib;3.0;Jo Jorgensen;False;True;12289;0.67
5063;16085;01;01021;18;18;9.0;gop;gop;2.0;Donald Trump;True;False;19281;83.42
5755;3073;01;01021;18;18;9.0;gop;dem;1.0;Joe Biden;False;False;19281;15.94
5849;123;01;01021;18;18;9.0;gop;lib;3.0;Jo Jorgensen;False;True;19281;0.64
5063;4296;01;01023;47;47;9.0;gop;gop;2.0;Donald Trump;True;False;7461;57.58
5755;3127;01;01023;47;47;9.0;gop;dem;1.0;Joe Biden;False;False;7461;41.91
5849;38;01;01023;47;47;9.0;gop;lib;3.0;Jo Jorgensen;False;True;7461;0.51
5063;7324;01;01025;48;48;9.0;gop;gop;2.0;Donald Trump;True;False;13128;55.79
5755;5755;01;01025;48;48;9.0;gop;dem;1.0;Joe Biden;False;False;13128;43.84
5849;49;01;01025;48;48;9.0;gop;lib;3.0;Jo Jorgensen;False;True;13128;0.37
5063;5601;01;01027;25;25;9.0;gop;gop;2.0;Donald Trump;True;False;6921;80.93
5755;1267;01;01027;25;25;9.0;gop;dem;1.0;Joe Biden;False;False;6921;18.31
5849;53;01;01027;25;25;9.0;gop;lib;3.0;Jo Jorgensen;False;True;6921;0.77
5063;6484;01;01029;13;13;9.0;gop;gop;2.0;Donald Trump;True;False;7219;89.82
5755;675;01;01029;13;13;9.0;gop;dem;1.0;Joe Biden;False;False;7219;9.35
5849;60;01;01029;13;13;9.0;gop;lib;3.0;Jo Jorgensen;False;True;7219;0.83
5063;16899;01;01031;31;31;9.0;gop;gop;2.0;Donald Trump;True;False;22239;75.99
5755;5076;01;01031;31;31;9.0;gop;dem;1.0;Joe Biden;False;False;22239;22.82
5849;264;01;01031;31;31;9.0;gop;lib;3.0;Jo Jorgensen;False;True;22239;1.19
5063;19203;01;01033;16;16;9.0;gop;gop;2.0;Donald Trump;True;False;27818;69.03
5755;8343;01;01033;16;16;9.0;gop;dem;1.0;Joe Biden;False;False;27818;29.99
5849;272;01;01033;16;16;9.0;gop;lib;3.0;Jo Jorgensen;False;True;27818;0.98
5063;3442;01;01035;29;29;9.0;gop;gop;2.0;Donald Trump;True;False;6440;53.45
5755;2966;01;01035;29;29;9.0;gop;dem;1.0;Joe Biden;False;False;6440;46.06
5849;32;01;01035;29;29;9.0;gop;lib;3.0;Jo Jorgensen;False;True;6440;0.5
