,CODE,Port,Country,latitude,longitude
0,ADALV,ANDORRA LA VELLA,ANDORRA,,
1,AEAAN,AL AIN,UNITED ARAB EMIRATES,,
2,AEABU,ABU AL BUKHOOSH,UNITED ARAB EMIRATES,,
3,AEAJM,AJMAN,UNITED ARAB EMIRATES,25.416666666666668,55.43333333333333
4,AEARZ,ARZANAH ISLAND,UNITED ARAB EMIRATES,,
5,AEAUH,ABU DHABI,UNITED ARAB EMIRATES,,
6,AEDAS,DAS ISLAND,UNITED ARAB EMIRATES,25.15,52.86666666666667
7,AEDHF,AL DHAFRA,UNITED ARAB EMIRATES,,
8,AEDUY,RAS ZUBBAYA (RAS DUB,UNITED ARAB EMIRATES,,
9,AEDXB,DUBAI,UNITED ARAB EMIRATES,25.25,55.266666666666666
10,AEFAT,FATEH TERMINAL,UNITED ARAB EMIRATES,,
11,AEFJR,FUJAIRAH (AL-FUJAIRA,UNITED ARAB EMIRATES,25.166666666666668,56.35
12,AEFMZ,MUSAFA,UNITED ARAB EMIRATES,,
13,AEHAM,HAMRIYA,UNITED ARAB EMIRATES,,
14,AEJEA,JEBEL ALI,UNITED ARAB EMIRATES,25.0,55.05
15,AEJED,JEBEL DHANNA,UNITED ARAB EMIRATES,,
16,AEKLF,KHOR AL FAKKAN,UNITED ARAB EMIRATES,25.35,56.36666666666667
17,AEMAS,MASFUT,UNITED ARAB EMIRATES,,
18,AEMBS,MUBARRAS ISLAND,UNITED ARAB EMIRATES,,
19,AEMSA,MINA SAQR,UNITED ARAB EMIRATES,25.966666666666665,56.05
20,AEMUB,MUBAREK TERMINAL,UNITED ARAB EMIRATES,,
21,AEMZD,MINA ZAYED,UNITED ARAB EMIRATES,24.533333333333335,54.38333333333333
22,AENHD,MINHAD,UNITED ARAB EMIRATES,,
23,AEPRA,PORT RASHID,UNITED ARAB EMIRATES,,
24,AEQIW,UMM AL QAIWAIN,UNITED ARAB EMIRATES,,
25,AERKT,RAS AL KHAIMAH,UNITED ARAB EMIRATES,,
26,AERUW,RUWAIS,UNITED ARAB EMIRATES,,
27,AESHJ,SHARJAH,UNITED ARAB EMIRATES,,
28,AEZUR,ZURKU ISLAND,UNITED ARAB EMIRATES,,
29,AFBST,BOST,AFGHANISTAN,,
30,AFCCN,CHAKCHARAN,AFGHANISTAN,,
31,AFDAZ,DARWAZ,AFGHANISTAN,,
32,AFFAH,FARAH,AFGHANISTAN,,
33,AFFBD,FAIZABAD,AFGHANISTAN,,
34,AFGRG,GARDEZ,AFGHANISTAN,,
35,AFGZI,GHAZNI,AFGHANISTAN,,
36,AFHEA,HERAT,AFGHANISTAN,,
37,AFHRT,HAIRATAN,AFGHANISTAN,,
38,AFIMZ,NIMROZ,AFGHANISTAN,,
39,AFJAA,JALALABAD,AFGHANISTAN,,
40,AFKBL,KABUL,AFGHANISTAN,,
41,AFKDH,KANDAHAR,AFGHANISTAN,,
42,AFKHT,KHOST,AFGHANISTAN,,
43,AFKUR,KURAN-O-MUNJAN,AFGHANISTAN,,
44,AFKWH,KHWAHAN,AFGHANISTAN,,
45,AFLQN,QALA NAU,AFGHANISTAN,,
46,AFMAS,MASHAD,AFGHANISTAN,,
47,AFMMZ,MAIMANA,AFGHANISTAN,,
48,AFMZR,MAZAR-I-SHARIF,AFGHANISTAN,,
49,AFSBF,SARDEH BAND,AFGHANISTAN,,
50,AFSGA,SHEGHNAN,AFGHANISTAN,,
51,AFTGH,TORGHUNDI,AFGHANISTAN,,
52,AFTII,TIRINKOT,AFGHANISTAN,,
53,AFTQN,TALUQAN,AFGHANISTAN,,
54,AFUND,KUNDUZ,AFGHANISTAN,,
55,AFURN,URGOON,AFGHANISTAN,,
56,AFURZ,URUZGAN,AFGHANISTAN,,
57,AFZAJ,ZARANJ,AFGHANISTAN,,
58,AGANU,ANTIGUA,ANTIGUA AND BARBUDA,,
59,AGSJO,ST JOHN'S,ANTIGUA AND BARBUDA,,
60,AIAXA,ANGUILLA,ANGUILLA,,
61,AIFOR,THE FOREST,ANGUILLA,,
62,AIRBY,ROAD BAY,ANGUILLA,,
63,AIROA,THE ROAD,ANGUILLA,,
64,ALDRZ,DURRËS,ALBANIA,41.31666666666667,19.466666666666665
65,ALSAR,SARANDA,ALBANIA,39.88333333333333,20.0
66,ALSHG,SHENGJIN,ALBANIA,41.81666666666667,19.6
67,ALTEN,TENES,ALBANIA,,
68,ALTIA,TIRANA,ALBANIA,,
69,ALVOA,VLORA,ALBANIA,40.483333333333334,19.483333333333334
70,AMAHU,AKHURYAN,ARMENIA,,
71,AMEVN,YEREVAN,ARMENIA,,
72,AMLWN,GYOUMRI,ARMENIA,,
73,ANBUB,BULLEN BAY,NETHERLANDS ANTILLES,,
74,ANBUS,BUSHIRIBANA,NETHERLANDS ANTILLES,,
75,ANCRB,CARACASBAII,NETHERLANDS ANTILLES,,
76,ANCUR,CURACAO,NETHERLANDS ANTILLES,,
77,ANEMM,EMMASTAD,NETHERLANDS ANTILLES,,
78,ANEUX,ST EUSTATIUS,NETHERLANDS ANTILLES,,
79,ANFUI,FUIKBAAI,NETHERLANDS ANTILLES,,
80,ANGUS,GUSTAVIA,NETHERLANDS ANTILLES,,
81,ANKRA,KRALENDIJK,NETHERLANDS ANTILLES,12.15,-68.28333333333333
82,ANMAR,MARIGOT,NETHERLANDS ANTILLES,,
83,ANPHI,PHILIPSBURG,NETHERLANDS ANTILLES,18.083333333333332,-63.166666666666664
84,ANRIN,RINCON,NETHERLANDS ANTILLES,,
85,ANSAB,SABA IS,NETHERLANDS ANTILLES,,
86,ANSMB,ST MICHIELS BAY,NETHERLANDS ANTILLES,,
87,ANSXM,ST MAARTEN,NETHERLANDS ANTILLES,,
88,ANWIL,WILLEMSTAD,NETHERLANDS ANTILLES,12.1,-68.93333333333334
89,AOANL,ANDULO,ANGOLA,,
90,AOARZ,N'ZETO,ANGOLA,,
91,AOAZZ,AMBRIZ,ANGOLA,,
92,AOCAB,CABINDA,ANGOLA,-5.533333333333333,12.183333333333334
93,AOCAV,CAZOMBO,ANGOLA,,
94,AOCBT,CATUMBELA,ANGOLA,,
95,AOCEO,WACO KUNGO,ANGOLA,,
96,AOCFF,CAFUNFO,ANGOLA,,
97,AOCNZ,CANGAMBA,ANGOLA,,
98,AOCTI,CUITO CUANAVALE,ANGOLA,,
99,AODGR,DOMBE GRANDE,ANGOLA,,
100,AODRC,DIRICO,ANGOLA,,
101,AODUE,DUNDO,ANGOLA,,
102,AOGGC,LUMBALA,ANGOLA,,
103,AOGXG,NEGAGE,ANGOLA,,
104,AOJMB,JAMBA,ANGOLA,,
105,AOKNP,CAPANDA,ANGOLA,,
106,AOLAA,LANDANA,ANGOLA,,
107,AOLAD,LUANDA,ANGOLA,-8.8,13.25
108,AOLBZ,LUKAPA,ANGOLA,,
109,AOLIE,LIEURA,ANGOLA,,
110,AOLOB,LOBITO,ANGOLA,-12.333333333333334,13.566666666666666
111,AOLUC,LUCIRA,ANGOLA,,
112,AOLUO,LUENA,ANGOLA,,
113,AOLZM,LUZAMBA,ANGOLA,,
114,AOMAL,MALONGO,ANGOLA,,
115,AOMEG,MALANGE,ANGOLA,,
116,AOMLO,MALEMBO,ANGOLA,,
117,AOMSZ,NAMIBE,ANGOLA,-15.183333333333334,12.116666666666667
118,AONDD,SUMBE,ANGOLA,,
119,AONDF,NDALATANDOS,ANGOLA,,
120,AONGV,NGIVA,ANGOLA,,
121,AONOE,NOVO REDONDO,ANGOLA,,
122,AONOV,HUAMBO,ANGOLA,,
123,AONRQ,N'RIQUINHA,ANGOLA,,
124,AONZA,NZAGI,ANGOLA,,
125,AOPAT,PALANCA TERMINAL,ANGOLA,,
126,AOPBN,PORTO AMBOIM,ANGOLA,-10.733333333333333,13.75
127,AOPGI,CHITATO,ANGOLA,,
128,AOPLE,PORTO ALEXANDRE,ANGOLA,,
129,AOSAZ,SAN ANTONIO DO ZAIRE,ANGOLA,,
130,AOSDD,LUBANGO,ANGOLA,,
131,AOSOQ,SOYO-QUINFUQUENA TER,ANGOLA,-6.333333333333333,12.233333333333333
132,AOSPP,MENONGUE,ANGOLA,,
133,AOSSY,M'BANZA CONGO,ANGOLA,,
134,AOSVP,KUITO,ANGOLA,,
135,AOSZA,SOYO,ANGOLA,,
136,AOTAK,TAKULA TERMINAL,ANGOLA,,
137,AOUAL,LUAU,ANGOLA,,
138,AOUGO,UIGE,ANGOLA,,
139,AOVHC,SAURIMO,ANGOLA,,
140,AOVPE,ONGIVA,ANGOLA,,
141,AOXGN,XANGONGO,ANGOLA,,
142,AQMCM,MCMURDO,ANTARCTICA,,
143,AQTNB,TERRA NOVA,ANTARCTICA,,
144,AQTNM,TENIENTE R. MARSH,ANTARCTICA,,
145,ARAEP,ARPT. JORGE NEWBERY,ARGENTINA,,
146,ARAFA,SAN RAFAEL,ARGENTINA,,
147,ARAOL,PASO DE LOS LIBRES,ARGENTINA,,
148,ARAPZ,ZAPALA,ARGENTINA,,
149,ARARR,ALTO RIO SENGUERR,ARGENTINA,,
150,ARATU,ATUCHA,ARGENTINA,,
151,ARBRC,SAN CARLOS DE BARILO,ARGENTINA,,
152,ARBUE,BUENOS AIRES,ARGENTINA,-34.6,-58.36666666666667
153,ARCCT,COLONIA CATRIEL,ARGENTINA,,
154,ARCLC,CALETA CORDOBA,ARGENTINA,,
155,ARCLX,CLORINDA,ARGENTINA,,
156,ARCMP,CAMPANA,ARGENTINA,,
157,ARCNQ,CORRIENTES,ARGENTINA,,
